(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
164,69.03800934,65.29218199,52630762.47,57415393.08,124822031.5,145.0932302
165,67.90369971,65.08562427,55339536.94,57414697.89,123644862.2,143.8398078
166,66.77134843,64.86522284,58022001.6,57414002.48,122408897.9,142.5863854
167,65.6411022,64.63048191,60676880.47,57413306.86,121114726.2,141.332963
168,64.51311586,64.38086581,63302910.68,57412611.03,119762962.5,140.0795407
169,63.38755313,64.11579632,65898843.07,57411914.98,118354249.3,138.8261183
170,62.26458743,63.83464979,68463442.8,57411218.71,116889256.6,137.5726959
171,61.14440281,63.53675405,70995489.91,57410522.23,115368680.8,136.3192735
172,60.02719492,63.22138498,73493779.93,57409825.54,113793245,135.0658511
173,58.91317214,62.88776281,75957124.45,57409128.63,112163698.2,133.8124287
174,57.80255672,62.53504811,78384351.66,57408431.51,110480815.3,132.5590063
175,56.69558611,62.16233744,80774306.93,57407734.17,108745396.5,131.3055839
176,55.59251441,61.7686586,83125853.34,57407036.62,106958267,130.0521616
177,54.49361392,61.35296556,85437872.27,57406338.86,105120276.6,128.7987392
178,53.39917693,60.91413295,87709263.85,57405640.88,103232299.2,127.5453168
179,52.30951757,60.45095011,89938947.55,57404942.68,101295232.7,126.2918944
180,51.224974,59.96211479,92125862.69,57404244.28,99309998.13,125.038472
181,50.14591067,59.44622628,94268968.89,57403545.65,97277539.57,123.7850496
182,49.07272093,58.90177825,96367246.64,57402846.82,95198823.52,122.5316272
183,48.00582986,58.32715105,98419697.72,57402147.77,93074838.48,121.2782049
184,46.94569738,57.72060367,100425345.7,57401448.5,90906594.5,120.0247825
185,45.89282171,57.08026533,102383236.5,57400749.02,88695122.67,118.7713601
186,44.84774318,56.40412679,104292438.5,57400049.33,86441474.66,117.5179377
187,43.81104835,55.69003158,106152043.6,57399349.42,84146722.21,116.2645153
188,42.78337467,54.93566713,107961166.9,57398649.29,81811956.58,115.0110929
189,41.76541542,54.1385562,109718947.9,57397948.96,79438288.12,113.7576705
190,40.75792527,53.29604884,111424550.2,57397248.41,77026845.63,112.5042481
191,39.76172623,52.40531526,113077162.3,57396547.64,74578775.94,111.2508258
192,38.77771409,51.4633402,114675997.9,57395846.66,72095243.26,109.9974034
193,37.80686544,50.46691932,116220296.5,57395145.47,69577428.69,108.743981
194,36.8502451,49.41265869,117709323.1,57394444.06,67026529.65,107.4905586
195,35.90901403,48.29697823,119142369.4,57393742.43,64443759.29,106.2371362
196,34.98443754,47.11612053,120518753.4,57393040.6,61830345.92,104.9837138
197,34.0778938,45.86616661,121837820.3,57392338.55,59187532.44,103.7302914
